reviews,titles
오랜만에다시봤는데 넘잼있네요,수상한 그녀
예전에 극장에서 봤을 땐  별 느낌 없었는데 오늘 다시보니 가슴이  아파서 눈물 흘리면서 봤네요  정말 슬펐네요   ,수상한 그녀
본다본다하다 못보다 오늘        심은경 연기 끝장이구만 아주그랴,수상한 그녀
심은경 연기 굿 ,수상한 그녀
그냥 코미디,수상한 그녀
나의 최애영화    아무리 돌려봐도 너무너무 재밌어요   ,수상한 그녀
심은경의 명연기가     이상  ,수상한 그녀
요     즘 이런 영화들 진짜 재미씀,수상한 그녀
참 재미있고 뭔가를 생각하게 하는 아름다운 영화였다 ,수상한 그녀
코믹 감동,수상한 그녀
국제시장 할머니판,수상한 그녀
노래란 사람을 홀리게 하는 매력이 있는 듯하다  노래로 인하여 더 여운이 갔던 영화  스토리도 굉장히 재밌었다 ,수상한 그녀
이 영화를 모든 할머니들께 감사히 바칩니다,수상한 그녀
이영화를 세상의 모든 할머니들에게 바칩니다,수상한 그녀
평이 좋아서 봤는데 그냥 그저그럼  평점     점은 오버  라라랜드가  점초반인데,수상한 그녀
너무 재밌게 봤어요  근데 마지막에 두리의 존재가 어떻게 정리되었는지 잘 이해가 안 되네요,수상한 그녀
예전 첫 상영땐 그냥 코미디 영화 정도로만 생각했는데    에서도 종종 하고  암튼  년에 한번씩은 보다보니 이제껏 안보이던 요소도 보이고  여러가지 생각도 많아지고   막판엔 핵최루탄 던져놓고도 깔끔하게 마무리해낸게  진짜 잘 만든 영화구나싶다  ,수상한 그녀
심은경 최대연기인듯 하지만 그 이후 영화는 별로임,수상한 그녀
잼나요,수상한 그녀
많이 웃고 많이 감동했어요  행복했습니다 점수 많이 드려요 ,수상한 그녀
아   영화 참 감동있네요  잘 봤습니다  ,수상한 그녀
새로운소재로 음악부터 좋음,수상한 그녀
찰진영화,수상한 그녀
전문가 평점은      평론가 넘들은  세상 살기 답답하겠다  지들의 고상함과 시니컬함이 이 세상과 맨날 불화하니 말야      기레기들 보다 짜증나는 우월의식   같잖아서 증말   ,수상한 그녀
액션장면은 쓸만한데 내용이 너무 억지스러워 재미있게 보는데 한계가 있음,용의자
출연자들의 연기도 뛰어나고  숨막히는 밀리터리 액션과 첩보 액션도 볼만한데  이야기 전개와 결말은 도저히 납득이 안됨 ,용의자
이 영화로 공유 팬이 됐었지요,용의자
은밀하게 위대하게,용의자
북한 특수부대 빠는 영화 감독 및 관게자들은 국정원 조사 받아봐야할듯,용의자
스토리 연기 긴박감 나무랄 데 없는 영화  천만 영화 될 자격 충분한 수작,용의자
공유  연기 대박 소름  진짜 잘한다,용의자
공유 멋지다 마지막 딸 만나는 장면이 통곡이 나오더라 공유 멋지다,용의자
결말이 좋아서 만점 줌,용의자
 ,용의자
최고의 영화    ,용의자
공유의 라스트씬 정말 멋집니다  최고입니다,용의자
왜 아직도      부가   안나오냐구       이게 말이되  원신연 공유 늙기전에  편 내놓라구   ,용의자
엄청 멋진 영화인데 더 많이 알려지길,용의자
